WORD,BASE_YEAR,GROUND_TRUTH,NEXT_YEAR
железный,2006,0,2007
подземный,2009,1,2010
катарский,2003,1,2004
гуманитарный,2005,0,2006
капитальный,2012,0,2013
норильский,2006,0,2007
саяно-шушенский,2008,2,2009
неназванный,2002,0,2003
непризнанный,2008,1,2009
грузинский,2011,1,2012
непосредственный,2008,0,2009
классный,2005,0,2006
грозный,2001,1,2002
бразильский,2001,0,2002
приднестровский,2011,1,2012
водительский,2011,0,2012
круглый,2004,0,2005
греческий,2009,2,2010
шиитский,2003,1,2004
луганский,2013,2,2014
сотовый,2007,0,2008
игорный,2010,2,2011
подконтрольный,2005,0,2006
скорый,2002,0,2003
итоговый,2008,0,2009
осетинский,2008,0,2009
топливный,2007,0,2008
цветной,2006,1,2007
трансферный,2008,0,2009
экспертный,2001,0,2002
киргизский,2004,1,2005
полевой,2007,0,2008
рязанский,2011,0,2012
персональный,2001,0,2002
смешной,2001,0,2002
радиоактивный,2000,0,2001
приемный,2013,2,2014
принятый,2008,0,2009
несогласный,2006,2,2007
ручной,2000,0,2001
круглый,2011,0,2012
казанский,2009,0,2010
грозный,2000,1,2001
рейтинговый,2012,1,2013
католический,2001,2,2002
приемный,2007,1,2008
убедительный,2003,0,2004
сборная,2002,0,2003
полномочный,2003,0,2004
басманный,2006,1,2007
екатеринбургский,2010,0,2011
норвежский,2004,1,2005
албанский,2001,0,2002
участковый,2011,0,2012
молодежный,2008,0,2009
приемный,2001,0,2002
сельский,2004,0,2005
панкисский,2002,0,2003
норильский,2010,0,2011
минский,2013,1,2014
координационный,2011,2,2012
уральский,2003,0,2004
продовольственный,2007,0,2008
надзорный,2010,0,2011
пожизненный,2007,0,2008
правый,2013,1,2014
суммарный,2009,0,2010
видный,2001,0,2002
недоступный,2011,0,2012
басманный,2002,1,2003
панкисский,2001,0,2002
свиной,2009,1,2010
особенный,2005,0,2006
киевский,2013,2,2014
корейский,2002,0,2003
болотный,2012,1,2013
садовый,2000,0,2001
ледяной,2000,0,2001
приемный,2004,0,2005
грядущий,2001,0,2002
физический,2006,0,2007
эротический,2001,0,2002
подконтрольный,2009,0,2010
съемочный,2010,0,2011
санитарный,2012,0,2013
обыкновенный,2007,0,2008
железный,2009,0,2010
топливный,2010,0,2011
осетинский,2003,0,2004
эффективный,2012,0,2013
вашингтонский,2002,1,2003
норильский,2007,0,2008
датский,2002,0,2003
алюминиевый,2003,0,2004
чешский,2011,0,2012
половой,2012,0,2013
македонский,2000,2,2001
тюремный,2001,0,2002
безработный,2008,0,2009
комсомольский,2000,1,2001
молдавский,2012,0,2013
экстремистский,2007,1,2008
цветной,2004,0,2005
строительный,2000,0,2001
служебный,2005,0,2006
сирийский,2004,0,2005
махачкалинский,2012,0,2013
мертвый,2004,0,2005
разнообразный,2004,0,2005
курганский,2004,0,2005
санкт-петербургский,2013,0,2014
бронзовый,2006,0,2007
инженерный,2004,0,2005
приемный,2005,0,2006
игорный,2009,0,2010
противный,2010,0,2011
православный,2013,0,2014
норильский,2008,1,2009
безработный,2010,1,2011
серый,2013,0,2014
великолепный,2010,0,2011
томский,2011,0,2012
кипрский,2013,1,2014
полевой,2005,0,2006
ужасный,2009,0,2010
болотный,2011,2,2012
универсальный,2012,0,2013
выходной,2012,0,2013
формальный,2003,0,2004
турнирный,2003,0,2004
непосредственный,2000,0,2001
круглый,2005,0,2006
убедительный,2003,0,2004
оранжевый,2003,1,2004
жуткий,2006,0,2007
октябрьский,2002,0,2003
железный,2011,0,2012
дурной,2000,0,2001
дальневосточный,2008,0,2009
лазерный,2011,1,2012
приемный,2012,0,2013
ливийский,2010,1,2011
лунный,2006,0,2007
критический,2009,0,2010
смертельный,2013,0,2014
русскоязычный,2003,0,2004
световой,2012,0,2013
слабый,2006,0,2007
норильский,2003,0,2004
басманный,2005,1,2006
телевизионный,2002,0,2003
послевоенный,2002,1,2003
правый,2009,0,2010
балетный,2013,0,2014
железный,2004,1,2005
самопровозглашенный,2013,2,2014
ежедневный,2007,0,2008
переходный,2010,1,2011
технологический,2000,0,2001
грандиозный,2004,0,2005
бумажный,2002,0,2003
триумфальный,2009,0,2010
несогласный,2007,2,2008
берлинский,2000,0,2001
убедительный,2003,0,2004
резкий,2012,0,2013
оранжевый,2004,1,2005
надзорный,2009,0,2010
невский,2008,1,2009
амурский,2008,0,2009
дорогостоящий,2008,1,2009
шиитский,2005,0,2006
автономный,2002,0,2003
подавляющий,2006,0,2007
кадровый,2002,0,2003
победный,2007,0,2008
католический,2002,0,2003
текстовый,2010,1,2011
необоснованный,2012,0,2013
неправильный,2001,0,2002
русскоязычный,2013,2,2014
голубой,2007,0,2008
невский,2006,0,2007
голевой,2005,0,2006
фигурный,2001,0,2002
железный,2005,0,2006
книжный,2002,0,2003
птичий,2006,0,2007
проектный,2006,0,2007
достойный,2004,0,2005
принятый,2012,0,2013
узбекский,2005,0,2006
южнокорейский,2008,0,2009
ювелирный,2008,0,2009
смешанный,2003,0,2004
голливудский,2002,0,2003
кавказский,2010,0,2011
шахматный,2001,0,2002
адекватный,2005,0,2006
подавляющий,2000,0,2001
свиной,2008,2,2009
крымский,2013,2,2014
республиканский,2004,0,2005
мадридский,2007,0,2008
норильский,2009,0,2010
тюменский,2005,0,2006
железный,2008,0,2009
донецкий,2013,2,2014
железный,2012,0,2013
красноярский,2002,0,2003
саяно-шушенский,2009,0,2010
пожизненный,2006,1,2007
сердечный,2006,0,2007
жаркий,2006,0,2007
балетный,2012,0,2013
невероятный,2010,0,2011
офшорный,2013,0,2014
разнообразный,2011,0,2012
ежедневный,2002,0,2003
датский,2001,0,2002
рекордный,2013,0,2014
обыкновенный,2012,0,2013
крымский,2011,0,2012
радиоактивный,2007,0,2008
железный,2007,0,2008
заказной,2000,0,2001
мадридский,2003,0,2004
датский,2005,0,2006
мелкий,2000,0,2001
птичий,2005,0,2006
македонский,2001,0,2002
сибирский,2000,0,2001
иркутский,2009,0,2010
грязный,2007,1,2008
смертный,2000,0,2001
римский,2005,1,2006
южноуральский,2003,0,2004
пушкинский,2012,1,2013
армянский,2006,0,2007
академический,2010,0,2011
добровольный,2004,0,2005
птичий,2004,0,2005
неофициальный,2011,0,2012
ледяной,2009,0,2010
радиоактивный,2010,1,2011
австралийский,2007,0,2008
египетский,2008,0,2009
надежный,2013,0,2014
нравственный,2002,0,2003
патриотический,2013,0,2014
уставной,2003,0,2004
бытовой,2013,0,2014
латинский,2010,0,2011
проектный,2009,0,2010
выездной,2010,0,2011
летный,2000,0,2001
ежемесячный,2003,0,2004
победный,2003,0,2004
внеочередной,2006,0,2007
симпатичный,2005,0,2006
незначительный,2011,0,2012
водительский,2012,0,2013
армянский,2006,0,2007
ложный,2007,0,2008
долговой,2005,0,2006
памятный,2004,0,2005
двусторонний,2011,0,2012
выездной,2010,0,2011
патрульный,2009,1,2010
обыкновенный,2008,0,2009
социологический,2007,0,2008
противоположный,2010,0,2011
приоритетный,2011,0,2012
узбекский,2004,2,2005
несанкционированный,2009,0,2010
исправительный,2010,0,2011
романтический,2000,0,2001
новгородский,2001,0,2002
солнечный,2000,0,2001
защитный,2001,0,2002
